team,tier,hltv_id,slug
Vitality,1,9565,vitality
MOUZ,1,4494,mouz
Spirit,1,7020,spirit
The MongolZ,1,6248,the-mongolz
Falcons,1,11283,falcons
Aurora,1.5,11861,aurora
FaZe,1.5,6667,faze
Natus Vincere,1.5,4608,natus-vincere
FURIA,1.5,8297,furia
G2,2,5995,g2
GamerLegion,2,9928,gamerlegion
HEROIC,2,7175,heroic
3DMAX,2,4914,3dmax
Virtus.pro,2,5378,virtuspro
Astralis,2,6665,astralis
paiN,2,4773,pain
Liquid,2,5973,liquid
Lynn Vision,2,8840,lynn-vision
B8,3,11241,b8
TYLOO,3,4863,tyloo
Legacy,3,12468,legacy
MIBR,3,9215,mibr
Ninjas in Pyjamas,3,4411,ninjas-in-pyjamas
Complexity,3,5005,complexity
fnatic,3,4991,fnatic
ECSTATIC,3,11419,ecstatic
NAVI Junior,3,13332,ex-navi-junior
Nemiga,3,7969,nemiga
TNL,3,12833,tnl
FlyQuest,3,12774,flyquest
Rare Atom,3,11514,rare-atom
ENCE,3,4869,ence
BIG,3,7532,big
Passion UA,3,12426,passion-ua
BetBoom,3,12394,betboom
NRG,3,6673,nrg
OG,3,10503,og
Iberian Soul,4,13104,iberian-soul
Spirit Academy,4,7900,spirit-academy
Imperial,4,9455,imperial
JiJieHao,4,10245,jijiehao
Wildcard,4,12257,wildcard
PARIVISION,4,12467,parivision
Chinggis Warriors,4,12646,chinggis-warriors
9INE,4,10278,9ine
HOTU,4,11581,hotu
M80,4,12376,m80
The Huns,4,12510,the-huns
Betclic,4,12916,betclic
SAW,4,10567,saw
Nexus,4,7187,nexus
Astrum,4,13235,astrum
Alliance,4,12474,alliance
CYBERSHOKE,4,12380,cybershoke
FURIA fe,4,10976,furia-fe
Johnny Speeds,4,12604,johnny-speeds
BC.Game,4,12878,bcgame
ODDIK,4,11768,oddik
9 Pandas,4,11883,9-pandas
Tricked,4,4602,tricked
Getting Info,4,13106,getting-info
Sashi,4,11712,sashi
Partizan,4,11838,partizan
Zero Tenacity,4,11523,zero-tenacity
BOSS,4,12534,boss
GUN5,4,12471,gun5
Metizport,4,11641,metizport
Sharks,4,8113,sharks
Fluxo,4,11837,fluxo
BLUEJAYS,4,5347,bluejays
500,4,12000,500
Monte,4,11811,monte
FAVBET,4,12818,favbet
ARCRED,4,10459,arcred
ECLOT,4,7441,eclot
SINNERS,4,10577,sinners
Supernova Comets,4,13146,supernova-comets
2GAME,4,12491,2game
BESTIA,4,12144,bestia
Marsborne,4,13124,marsborne
Sangal,4,10333,sangal
Eruption,4,12097,eruption
Rebels,4,12642,rebels
RUBY,4,12694,ruby
SemperFi,4,12901,semperfi
CPH Wolves,4,4548,cph-wolves
TPuDCATb TPu,4,13297,tpudcatb-tpu
NIP Impact,4,11917,nip-impact
Fire Flux,4,12960,fire-flux
Wings Up,4,10851,wings-up
9z,4,9996,9z
RED Canids,4,7176,red-canids
M1,4,7376,m1x
AMKAL,4,12586,amkal
NomadS,4,12900,nomads
Flamengo,4,12065,flamengo
SPARTA,4,13214,sparta
LFO,4,12644,lfo
Betera,4,12431,betera
Leça,4,13210,lea
Imperial Valkyries,4,12828,imperial-valkyries
Bounty Hunters,4,12776,bounty-hunters
1win,4,10621,1win
Rhyno,4,10947,rhyno
LAG,4,11955,lag
ENCE Academy,4,11790,ence-academy
Party Astronauts,4,8038,party-astronauts
SELVA,4,12447,selva
Zerance,4,13271,zerance
KRÜ,4,10900,kr
Rooster,4,9881,rooster
ex-TALON,4,13212,ex-talon
Keyd Stars,4,6033,keyd-stars
Marius,5,13291,marius
ex-SABRE,5,13298,ex-sabre
FengDa,5,12899,fengda
GameHunters,5,12988,gamehunters
FlyQuest RED,5,12301,flyquest-red
Nouns,5,11948,nouns
ex-W7M,5,13288,ex-w7m
aab,5,9621,aab
prestige,5,13159,prestige
fish123,5,6298,fish123
G2 Ares,5,12889,g2-ares
Nuclear Tigers,5,13027,nuclear-tigers
FORZE Reload,5,12857,forze-reload
masonic,5,10867,masonic
gen one,5,11609,genone
mana,5,13310,mana
vp.prodigy,5,10864,vpprodigy
shinden,5,12959,shinden
players,5,11711,players
brute,5,9139,brute
glitchtech,5,13285,glitchtech
minlate,5,6626,minlate
dustyroots,5,12548,dusty-roots
WOPA,5,12787,wopa
prestige,5,13159,prestige
alter ego,5,9958,alter-ego
eternal fire,5,11251,eternal-fire
ground zero,5,8536,ground-zero
